RECORD_DATE,paytype,min_revenue,max_revenue
2020-08-30T00:00:00.000Z,0,-545000.000000,1642630.000000
2020-08-30T00:00:00.000Z,1,0.000000,2180000.000000
2020-08-30T00:15:00.000Z,0,-545000.000000,1097630.000000
2020-08-30T00:15:00.000Z,1,0.000000,2180000.000000
2020-08-30T00:30:00.000Z,0,-545000.000000,545000.000000
2020-08-30T00:30:00.000Z,1,0.000000,7739000.000000
2020-08-30T00:45:00.000Z,0,-545000.000000,545000.000000
2020-08-30T00:45:00.000Z,1,0.000000,5450000.000000
